,postcodeDistrict,retailNum
734,EH10,6
735,EH11,12
736,EH12,16
737,EH13,4
738,EH14,19
739,EH15,8
740,EH16,9
741,EH17,8
742,EH19,2
743,EH2,5
744,EH20,7
745,EH21,7
746,EH22,12
747,EH23,1
748,EH25,1
749,EH26,2
750,EH28,2
751,EH29,1
752,EH3,13
753,EH30,5
754,EH31,1
755,EH32,7
756,EH33,4
757,EH34,1
758,EH35,1
759,EH39,3
760,EH4,13
761,EH40,1
762,EH41,5
763,EH42,4
764,EH44,1
765,EH45,4
766,EH46,1
767,EH47,8
768,EH48,12
769,EH49,4
770,EH5,6
771,EH51,6
772,EH52,8
773,EH53,4
774,EH54,25
775,EH55,2
776,EH6,13
777,EH7,10
778,EH8,8
779,EH9,5
780,EN1,6
781,EN10,2
782,EN11,8
783,EN2,10
784,EN3,10
785,EN4,6
786,EN5,7
787,EN6,8
788,EN7,2
789,EN8,12
790,EN9,4
791,EX1,8
792,EX10,6
793,EX11,2
794,EX12,2
795,EX13,4
796,EX14,9
797,EX15,4
798,EX16,8
799,EX17,6
800,EX19,1
801,EX2,17
802,EX20,10
803,EX22,4
804,EX23,6
805,EX3,1
806,EX31,14
807,EX32,7
808,EX33,4
809,EX34,5
810,EX36,2
811,EX38,4
812,EX39,10
813,EX4,23
814,EX5,4
815,EX6,2
816,EX7,2
817,EX8,13
818,EX9,3
819,FK1,12
820,FK10,15
821,FK11,1
822,FK12,2
823,FK13,1
824,FK14,1
825,FK15,3
826,FK16,1
827,FK17,2
828,FK2,9
829,FK21,1
830,FK3,6
831,FK4,6
832,FK5,7
833,FK6,5
834,FK7,13
835,FK8,8
836,FK9,6
837,FY1,13
838,FY2,6
839,FY3,14
840,FY4,14
841,FY5,14
842,FY6,10
843,FY7,8
844,FY8,14
845,G1,13
846,G11,8
847,G12,10
848,G13,8
849,G14,4
850,G15,4
851,G2,11
852,G20,6
853,G21,8
854,G22,2
855,G23,2
856,G3,9
857,G31,7
858,G32,8
859,G33,8
860,G34,5
861,G4,6
862,G40,1
863,G41,7
864,G42,11
865,G43,5
866,G44,6
867,G45,1
868,G46,5
869,G5,8
870,G51,9
871,G52,8
872,G53,9
873,G60,1
874,G61,12
875,G62,6
876,G63,3
877,G64,9
878,G65,3
879,G66,14
880,G67,7
881,G68,5
882,G69,10
883,G71,11
884,G72,15
885,G73,8
886,G74,15
887,G75,6
888,G76,4
889,G77,10
890,G78,7
891,G81,17
892,G82,11
893,G83,8
894,G84,7
895,GL1,16
896,GL10,3
897,GL11,9
898,GL12,4
899,GL13,1
900,GL14,3
901,GL15,5
902,GL16,4
903,GL17,2
904,GL18,3
905,GL19,2
906,GL2,13
907,GL20,8
908,GL3,9
909,GL4,14
910,GL5,9
911,GL50,11
912,GL51,17
913,GL52,11
914,GL53,7
915,GL54,10
916,GL55,2
917,GL56,5
918,GL6,4
919,GL7,18
920,GL8,2
921,GU1,11
922,GU10,8
923,GU11,5
924,GU12,6
925,GU14,14
926,GU15,7
927,GU16,6
928,GU17,4
929,GU18,2
930,GU19,3
931,GU2,8
932,GU21,14
933,GU22,10
934,GU23,5
935,GU24,5
936,GU25,2
937,GU26,3
938,GU27,4
939,GU28,1
940,GU29,4
941,GU3,1
942,GU30,4
943,GU31,4
944,GU32,6
945,GU33,1
946,GU34,11
947,GU35,5
948,GU4,1
949,GU46,5
950,GU47,6
951,GU5,2
952,GU51,11
953,GU52,4
954,GU6,4
955,GU7,4
956,GU8,3
957,GU9,8
958,GY1,6
959,GY2,4
960,GY3,1
961,GY4,2
962,GY5,2
963,GY6,1
964,GY7,2
965,GY8,1
966,HA0,6
967,HA1,10
968,HA2,8
969,HA3,9
970,HA4,12
971,HA5,14
972,HA6,5
973,HA7,3
974,HA8,10
975,HA9,15
976,HD1,12
977,HD2,3
978,HD3,8
979,HD4,4
980,HD5,8
981,HD6,5
982,HD7,4
983,HD8,7
984,HD9,13
985,HG1,11
986,HG2,13
987,HG3,5
988,HG4,8
989,HG5,7
990,HP1,6
991,HP10,4
992,HP11,11
993,HP12,5
994,HP13,7
995,HP14,2
996,HP15,7
997,HP16,3
998,HP17,3
999,HP18,1
1000,HP19,7
1001,HP2,12
1002,HP20,14
1003,HP21,6
1004,HP22,3
1005,HP23,5
1006,HP27,6
1007,HP3,6
1008,HP4,6
1009,HP5,3
1010,HP6,3
1011,HP7,3
1012,HP8,1
1013,HP9,6
1014,HR1,7
1015,HR2,5
1016,HR3,3
1017,HR4,10
1018,HR5,2
1019,HR6,4
1020,HR7,2
1021,HR74,1
1022,HR8,6
1023,HR9,9
1024,HS1,4
1025,HS6,1
1026,HS7,1
1027,HS8,1
1028,HS9,1
1029,HU1,6
1030,HU10,12
1031,HU11,3
1032,HU12,3
1033,HU13,4
1034,HU14,2
1035,HU15,5
1036,HU16,5
1037,HU17,12
1038,HU18,4
1039,HU19,3
1040,HU2,2
1041,HU3,16
1042,HU4,4
1043,HU5,13
1044,HU6,9
1045,HU7,13
1046,HU8,5
1047,HU9,14
1048,HX1,11
1049,HX2,4
1050,HX20,1
1051,HX3,6
1052,HX4,2
1053,HX5,2
1054,HX6,3
1055,HX7,3
1056,IG1,9
1057,IG10,9
1058,IG11,11
1059,IG2,7
1060,IG3,3
1061,IG5,1
1062,IG6,6
1063,IG7,1
1064,IG8,5
1065,IG9,2
1066,IM1,7
1067,IM2,6
1068,IM3,2
1069,IM4,3
1070,IM5,2
1071,IM7,1
1072,IM8,4
1073,IM9,7
1074,IP1,22
1075,IP11,15
1076,IP12,7
1077,IP13,4
1078,IP14,9
1079,IP15,3
1080,IP16,1
1081,IP17,3
1082,IP18,3
1083,IP19,2
1084,IP2,6
1085,IP20,2
1086,IP21,1
1087,IP22,4
1088,IP23,2
1089,IP24,11
1090,IP25,3
1091,IP26,1
1092,IP27,4
1093,IP28,4
1094,IP3,16
1095,IP30,2
1096,IP31,5
1097,IP32,6
1098,IP33,11
1099,IP4,10
1100,IP5,4
1101,IP6,3
1102,IP7,3
1103,IP8,4
1104,IP9,2
1105,IV1,3
1106,IV10,2
1107,IV12,6
1108,IV14,1
1109,IV15,4
1110,IV16,2
1111,IV17,3
1112,IV18,2
1113,IV19,4
1114,IV2,21
1115,IV20,1
1116,IV21,1
1117,IV24,1
1118,IV25,2
1119,IV26,1
1120,IV27,4
1121,IV28,1
1122,IV3,11
1123,IV30,16
1124,IV31,2
1125,IV32,3
1126,IV36,6
1127,IV4,4
1128,IV40,2
1129,IV49,1
1130,IV51,2
1131,IV54,1
1132,IV6,1
1133,IV63,1
1134,IV7,3
1135,IV8,1
1136,IV9,1
1137,JE2,22
1138,JE3,16
1139,JE4,2
1140,KA1,14
1141,KA10,5
1142,KA11,2
1143,KA12,10
1144,KA13,4
1145,KA15,1
1146,KA17,1
1147,KA18,7
1148,KA19,2
1149,KA2,1
1150,KA20,2
1151,KA21,7
1152,KA22,2
1153,KA23,2
1154,KA24,2
1155,KA25,1
1156,KA26,4
1157,KA27,3
1158,KA3,8
1159,KA30,6
1160,KA4,2
1161,KA5,2
1162,KA6,3
1163,KA7,12
1164,KA8,12
1165,KA9,6
1166,KT1,8
1167,KT10,5
1168,KT11,4
1169,KT12,9
1170,KT13,7
1171,KT14,4
1172,KT15,8
1173,KT16,4
1174,KT17,10
1175,KT18,6
1176,KT19,9
1177,KT2,9
1178,KT20,4
1179,KT21,3
1180,KT22,7
1181,KT23,3
1182,KT24,2
1183,KT3,7
1184,KT4,4
1185,KT5,2
1186,KT6,10
1187,KT7,2
1188,KT8,4
1189,KT9,7
1190,KW1,4
1191,KW10,2
1192,KW14,7
1193,KW15,4
1194,KW16,1
1195,KW17,1
1196,KW6,1
1197,KW8,1
1198,KW9,1
1199,KY1,8
1200,KY10,2
1201,KY11,21
1202,KY12,14
1203,KY13,2
1204,KY14,2
1205,KY15,6
1206,KY16,7
1207,KY2,7
1208,KY3,3
1209,KY4,9
1210,KY5,6
1211,KY6,4
1212,KY7,18
1213,KY8,10
1214,L1,11
1215,L10,6
1216,L11,7
1217,L12,5
1218,L13,12
1219,L14,4
1220,L15,7
1221,L16,3
1222,L17,5
1223,L18,7
1224,L19,5
1225,L2,5
1226,L20,8
1227,L21,4
1228,L22,3
1229,L23,6
1230,L24,8
1231,L25,9
1232,L26,3
1233,L3,11
1234,L30,4
1235,L31,7
1236,L32,5
1237,L33,3
1238,L34,4
1239,L35,7
1240,L36,8
1241,L37,9
1242,L38,1
1243,L39,10
1244,L4,7
1245,L40,6
1246,L5,5
1247,L6,1
1248,L7,10
1249,L8,3
1250,L9,7
1251,LA1,21
1252,LA10,1
1253,LA11,3
1254,LA12,9
1255,LA13,4
1256,LA14,13
1257,LA15,1
1258,LA16,1
1259,LA18,2
1260,LA2,5
1261,LA21,2
1262,LA22,6
1263,LA23,6
1264,LA3,6
1265,LA4,8
1266,LA5,9
1267,LA6,5
1268,LA7,3
1269,LA8,1
1270,LA9,12
1271,LD1,4
1272,LD2,2
1273,LD3,9
1274,LD6,2
1275,LD7,1
1276,LD8,1
1277,LE1,11
1278,LE10,14
1279,LE11,17
1280,LE12,13
1281,LE13,10
1282,LE14,1
1283,LE15,9
1284,LE16,11
1285,LE17,6
1286,LE18,16
1287,LE19,8
1288,LE2,24
1289,LE3,25
1290,LE4,22
1291,LE5,8
1292,LE6,3
